t(min)   Tvap(°C)   TckIn(°C)   TckSld(°C)   TckOut(°C)   Mvap(t/h)   Nivel(m)   TspIn(°C)   TspSld(°C)
430   172.766   76.5369   150.096   429.476   15.297   12.8607   57.1133   77.2317   
435   428.781   75.529   146.363   429.476   0.122082   13.2549   56.8602   76.4186   
440   170.802   74.5617   142.797   429.476   16.8335   13.6249   56.6161   75.6387   
445   429.107   73.6329   139.364   429.476   0.0977619   13.9307   56.3808   74.8782   
450   429.271   72.741   136.075   429.476   0.078696   14.2349   56.1539   74.1446   
455   429.336   71.8846   132.911   429.476   0.0678113   14.4848   55.9351   73.4309   
460   429.389   71.0621   129.874   429.476   0.0556394   14.6917   55.7242   72.7403   
465   429.432   70.2721   126.957   429.476   0.0415754   14.8583   55.5208   72.0715   
470   429.412   69.513   124.153   429.476   0.0486703   14.9967   55.3247   71.422   
475   424.656   68.7836   121.46   429.475   0.21075   15.6616   55.1355   70.7929   
480   399.314   68.0828   118.872   429.475   0.2112   16.3642   54.9532   70.1835   
485   416.597   67.4093   116.385   429.475   0.211868   17.0686   54.7773   69.5925   
490   97.7823   66.7619   113.993   429.473   0.21229   17.7748   54.6077   69.0189   
495   378.062   66.1396   111.695   429.46   0.212938   18.4829   54.4442   68.4638   
500   104.781   65.5415   109.486   429.415   0.207065   19.1927   54.2864   67.9255   
505   143.179   64.9663   107.361   426.324   0   19.7577   54.1343   67.4028   
514   143.179   63.986   103.74   403.22   0.221054   20.248   53.8741   66.503   


Pico de vazao de vapor [t/h] = 57.1811
Agua total adicionada [kg] = 409233
Vapor total gerado [kg] = 65124
Agua acumulada no leito [kg] = 284165
balanco [kg] = 59944.3
errobalanco [%] = 14.6479

Tempo: 464 s
