t(min)   TckSld(°C)
0   370.1
5   369.796
10   369.576
15   369.374
20   369.213
25   369.052
30   368.907
35   368.758
40   368.616
45   368.473
50   368.331
55   368.189
60   368.048
65   367.906
70   367.764
75   367.632
80   367.025
85   366.526
90   366.009
95   365.505
100   365.013
105   364.561
110   364.159
115   363.768
120   363.38
125   362.991
130   362.602
135   362.297
140   362.296
145   361.947
150   336.669
155   334.459
160   327.819
165   322.241
170   319.514
175   315.134
180   310.632
185   304.418
190   296.38
195   287.649
200   284.365
205   276.141
210   265.449
215   242.056
220   232.383
225   226.243
230   220.323
235   214.623
240   209.121
245   203.816
250   198.715
255   193.797
260   189.046
265   184.466
270   180.053
275   175.797
280   171.69
285   167.731
290   163.911
295   160.226
300   156.673
305   153.246
310   150.335
315   146.906
320   143.61
325   140.434
330   137.381
335   134.441
340   131.612
345   128.888
350   126.266
355   123.741
360   121.309
365   118.966
370   116.71
375   114.535
380   112.44
385   110.421
390   108.469
395   106.364
400   104.399
405   102.516
410   100.691
415   98.9529
420   97.2761
425   95.668
430   94.1204
435   92.6323
440   91.2011
445   89.8239
450   88.4986
455   87.2232
460   86.9717
465   86.9717
470   86.9619
475   86.9619
480   86.9619
485   86.9619
490   86.9619
495   86.9619
500   86.9619

FuncObj: 158.466
