Iteracao FuncaoObjetivo
0 386.705
1 227.645
2 163.248
3 80.1202
4 80.1202
5 80.1202
6 80.1202
7 80.1202
8 80.1202
9 80.1202
10 80.1202
11 80.1202
12 80.1202
13 80.1202
14 74.5449
15 74.5449
16 74.5449
17 74.5449
18 74.5449
19 74.5449

Função objetivo mínima: 74.5449

Minimo encontrado em:
X0 3.96541
X1 4.95812
X2 0.874519
X3 0.363032
X4 0.895853
X5 1.01814
X6 3.27521

