t(min)   TckSld(°C)
0   370.1
5   369.797
10   369.497
15   369.194
20   368.891
25   368.587
30   368.284
35   367.981
40   367.677
45   367.374
50   367.071
55   366.767
60   366.464
65   366.16
70   365.857
75   365.575
80   364.209
85   362.857
90   361.391
95   360.061
100   358.694
105   357.332
110   355.927
115   354.529
120   353.19
125   351.833
130   350.757
135   349.743
140   349.743
145   349.743
150   349.743
155   349.743
160   349.743
165   349.743
170   349.743
175   349.743
180   349.742
185   349.738
190   349.731
195   349.713
200   349.662
205   349.6
210   349.492
215   345.454
220   318.289
225   305.346
230   293.054
235   281.383
240   270.298
245   259.77
250   249.769
255   240.268
260   231.242
265   222.665
270   214.515
275   206.769
280   199.406
285   192.407
290   185.753
295   179.426
300   173.409
305   167.687
310   161.132
315   155.714
320   150.572
325   145.695
330   141.071
335   136.683
340   132.52
345   128.57
350   124.821
355   121.262
360   117.883
365   114.675
370   111.628
375   108.733
380   105.983
385   103.37
390   101.039
395   98.4747
400   96.0483
405   93.7525
410   91.5794
415   89.5223
420   87.5746
425   85.7299
430   83.9825
435   82.327
440   80.758
445   79.2709
450   77.861
455   76.5241
460   76.2647
465   76.2553
470   76.2553
475   76.2553
480   76.2553
485   76.2553
490   76.2553
495   76.2553
500   76.2553

FuncObj: 1018.58
