Iteracao FuncaoObjetivo
0 1241.29
1 1208.99
2 1178.1
3 1144.55
4 1102.66
5 1102.66
6 1081.98
7 1078.48
8 1078.48
9 1075
10 1018.82
11 1018.82
12 1018.82
13 1018.82
14 1017.94
15 1017.94
16 1017.94
17 1017.94
18 1017.94
19 1017.94

Função objetivo mínima: 1017.94

Minimo encontrado em:
X0 4.05851
X1 2.4458
X2 3.35247
X3 1.75639

