Iteracao FuncaoObjetivo
0 189.69
1 162.844
2 82.6453
3 82.6453
4 82.6453
5 82.6453
6 82.6453
7 64.2891
8 64.2891
9 63.0755
10 63.0755
11 63.0755
12 51.3504
13 51.3504
14 51.3504
15 51.3504
16 51.3504
17 51.3504
18 51.3504
19 51.3504

Função objetivo mínima: 51.3504

Minimo encontrado em:
X0 4.07979
X1 5.57584
X2 0.01
X3 0.236836

