t(min)   TckSld(°C)
0   444.1
5   443.631
10   443.323
15   443.053
20   442.819
25   442.583
30   442.352
35   442.008
40   441.651
45   441.317
50   440.977
55   440.647
60   440.312
65   439.982
70   439.649
75   439.319
80   438.988
85   438.659
90   438.329
95   438
100   437.671
105   437.343
110   437.015
115   436.688
120   436.361
125   436.034
130   435.708
135   434.064
140   407.862
145   397.857
150   388.071
155   378.519
160   369.173
165   359.974
170   350.847
175   341.935
180   333.267
185   324.813
190   316.605
195   308.68
200   301.192
205   293.914
210   286.979
215   280.312
220   273.785
225   267.407
230   261.191
235   255.126
240   249.22
245   243.481
250   237.882
255   232.444
260   227.137
265   221.97
270   217.517
275   211.99
280   206.664
285   201.518
290   196.547
295   191.743
300   187.102
305   182.619
310   178.289
315   174.106
320   170.066
325   166.164
330   162.395
335   158.754
340   155.238
345   151.842
350   148.562
355   145.394
360   142.334
365   139.379
370   136.524
375   133.766
380   131.102
385   128.529
390   126.043
395   123.717
400   120.854
405   118.109
410   115.508
415   113.021
420   110.635
425   108.354
430   106.168
435   104.074
440   102.068
445   100.146
450   98.3034
455   96.537
460   94.8432
465   93.2182
470   91.6597
475   90.1646
480   88.7292
485   87.3517
490   86.0292
495   84.7593
500   83.5399
505   82.3682
510   81.2427
514   80.3739

FuncObj: 630.31
