Iteracao FuncaoObjetivo
0 1624.91
1 683.835
2 642.336
3 642.336
4 625.646
5 625.646
6 625.646
7 624.123
8 624.123
9 588.115
10 588.115
11 588.115
12 588.115
13 588.115
14 588.115
15 579.884
16 579.884
17 579.884
18 566.691
19 566.691

Função objetivo mínima: 566.691

Minimo encontrado em:
X0 3.5634
X1 2.77165
X2 4.74676
X3 0.05

