Iteracao FuncaoObjetivo
0 7904.09
1 6986.34
2 5963.28
3 5542.31
4 5309.09
5 4730.3
6 4411.22
7 3778.96
8 3075.04
9 1686.82
10 1686.82
11 1589.06
12 1484.42
13 1432.89
14 1153.71
15 1027.38
16 1027.38
17 957.675
18 926.272
19 889.06

Função objetivo mínima: 889.06

Minimo encontrado em:
X0 0.1
X1 0.0300096
X2 0
X3 4.04536

