t(min)   TckSld(°C)
0   433.4
5   432.689
10   432.062
15   431.57
20   431.064
25   430.635
30   430.182
35   428.347
40   426.761
45   425.527
50   424.257
55   423.189
60   422.065
65   421.085
70   420.049
75   419.123
80   418.145
85   417.255
90   416.317
95   415.451
100   414.542
105   413.692
110   412.805
115   411.968
120   411.098
125   410.271
130   409.416
135   409.082
140   409.081
145   409.081
150   409.081
155   409.08
160   409.036
165   408.968
170   408.878
175   408.808
180   405.142
185   391.526
190   377.72
195   366.169
200   354.809
205   344.466
210   334.262
215   324.658
220   315.243
225   306.258
230   297.49
235   289.058
240   280.855
245   272.931
250   265.233
255   257.787
260   250.565
265   243.577
270   234.213
275   226.054
280   218.267
285   211.206
290   204.345
295   197.891
300   191.678
305   185.771
310   180.11
315   174.706
320   169.536
325   164.594
330   159.869
335   155.349
340   151.028
345   146.894
350   142.94
355   139.155
360   135.535
365   132.069
370   128.753
375   125.577
380   122.537
385   119.625
390   116.836
395   109.618
400   101.901
405   97.1995
410   93.1388
415   89.906
420   86.8863
425   84.2367
430   81.7476
435   79.4896
440   77.3789
445   75.4397
450   73.6337
455   71.9654
460   70.4145
465   68.9779
470   67.6433
475   66.4053
480   65.2553
485   64.1876
490   63.1955
495   62.274
500   61.4175
505   60.6216
510   59.8817
514   59.3275

FuncObj: 919.892
