t(min)   Tvap(°C)   TckIn(°C)   TckSld(°C)   TckOut(°C)   Mvap(t/h)   Nivel(m)   TspIn(°C)   TspSld(°C)
430   216.699   79.3451   104.179   404.855   4.88285   10.0197   59.4443   67.9313   
435   190.896   78.1799   102.328   404.854   7.57289   10.5132   59.1502   67.421   
440   186.697   77.0342   100.575   404.854   7.78234   10.9874   58.8087   66.9208   
445   164.163   75.9513   98.8796   404.854   16.1937   11.4352   58.505   66.4412   
450   163.026   74.9817   97.2493   404.725   16.4274   11.8413   58.2414   65.9762   
455   374.616   74.1784   95.9562   404.713   0.337187   12.3985   54.0202   61.7249   
460   393.341   73.1153   94.1837   404.713   0.260055   13.6808   53.7499   61.3501   
465   397.79   72.1191   92.5998   404.713   0.203719   14.7065   53.4873   60.9232   
470   401.114   71.1616   91.0472   404.713   0.147782   15.488   53.234   60.5164   
475   403.125   70.2417   89.5461   404.712   0.092779   16.0313   52.9893   60.1163   
480   403.645   69.3577   88.0912   404.712   0.0693299   16.3845   52.7529   59.7249   
485   363.202   68.5081   86.6835   404.712   0.351609   17.8325   52.5247   59.3453   
490   150.752   67.6914   85.3286   404.712   0.352403   19.3658   52.3044   58.9759   
495   395.095   66.9061   84.0186   404.712   0.000173248   20.9029   52.0915   58.6174   
500   nan   66.5926   83.8817   404.712   nan   nan   nan   nan   


Pico de vazao de vapor [t/h] = 33.2325
Agua total adicionada [kg] = 302495
Vapor total gerado [kg] = 34706.1
Agua acumulada no leito [kg] = nan
balanco [kg] = nan
errobalanco [%] = nan

Tempo: 391 s
