Iteracao FuncaoObjetivo
0 1010.28
1 1010.28
2 913.332
3 777.522
4 777.522
5 456.525
6 456.525
7 456.525
8 456.525
9 456.525
10 456.525
11 251.412
12 251.412
13 251.412
14 88.348
15 88.348
16 88.348
17 88.348
18 88.348
19 88.348

Função objetivo mínima: 88.348

Minimo encontrado em:
X0 4.28591
X1 4.8866
X2 0.0527525
X3 0.379423
X4 1.31425
X5 1.0928
X6 4.55585

