t(min)   TckSld(°C)
0   420.2
5   419.388
10   418.672
15   418.117
20   417.549
25   417.065
30   416.557
35   416.104
40   415.627
45   415.191
50   414.733
55   412.926
60   411.372
65   410.178
70   408.958
75   407.927
80   406.848
85   405.898
90   404.9
95   403.998
100   403.052
105   402.18
110   401.27
115   400.417
120   399.531
125   398.691
130   397.823
135   396.992
140   396.137
145   396.136
150   396.133
155   396.133
160   396.133
165   396.133
170   396.132
175   396.132
180   396.132
185   396.132
190   396.129
195   396.097
200   396.053
205   395.978
210   395.876
215   395.842
220   391.963
225   374.644
230   355.643
235   341.032
240   330.215
245   319.853
250   310.796
255   301.856
260   293.557
265   285.389
270   277.631
275   270.045
280   262.764
285   255.667
290   248.82
295   242.156
300   235.703
305   228.56
310   217.061
315   208.715
320   200.759
325   193.479
330   186.504
335   179.931
340   173.679
345   167.746
350   162.117
355   156.767
360   151.693
365   146.869
370   142.291
375   137.938
380   133.805
385   129.874
390   126.139
395   122.587
400   119.21
405   115.997
410   112.941
415   110.033
420   107.265
425   104.631
430   98.9454
435   94.7502
440   91.1614
445   88.2721
450   85.5592
455   82.1661
460   75.301
465   71.5796
470   68.4734
475   65.9365
480   63.6686
485   61.6918
490   59.931
495   58.3763
500   58.3602

FuncObj: 1226.39
