Iteracao FuncaoObjetivo
0 5790.76
1 5450.29
2 4976.79
3 4890.65
4 4366.88
5 3996.9
6 3587.18
7 2684.27
8 2184.34
9 1896.4
10 1775.46
11 1775.46
12 1681.21
13 1597.59
14 1575.9
15 1575.9
16 1466.64
17 1466.64
18 1466.64
19 1466.64
20 1466.64
21 1466.64
22 1466.64
23 1423.63
24 1423.63
25 1410.55
26 1322.77
27 1273.88
28 1235.65
29 1221.41

Função objetivo mínima: 1221.41

Minimo encontrado em:
X0 0.1
X1 0.0337305
X2 0
X3 5

