Iteracao FuncaoObjetivo
0 1287.95
1 545.796
2 545.796
3 545.796
4 520.412
5 520.412
6 515.546
7 515.546
8 515.546
9 515.546
10 500.898
11 500.898
12 494.092
13 494.092
14 494.092
15 494.092
16 494.092
17 494.092
18 494.092
19 494.092
20 494.092
21 494.092
22 494.092
23 494.092
24 494.092
25 494.092
26 494.092
27 494.092
28 494.092
29 494.092

Função objetivo mínima: 494.092

Minimo encontrado em:
X0 4.87135
X1 1.52129
X2 4.06523
X3 0.05

