t(min)   TckSld(°C)
0   420.25
5   420.044
10   419.85
15   419.651
20   419.47
25   419.292
30   419.121
35   418.946
40   418.775
45   418.602
50   418.432
55   417.933
60   417.37
65   416.839
70   416.368
75   415.914
80   415.466
85   415.036
90   414.613
95   414.191
100   413.775
105   413.329
110   412.853
115   412.415
120   411.98
125   411.555
130   411.14
135   410.721
140   410.29
145   410.29
150   410.29
155   397.827
160   388.211
165   376.654
170   361.073
175   355.976
180   350.495
185   345.092
190   339.749
195   334.464
200   329.256
205   324.126
210   318.148
215   312.356
220   306.796
225   301.349
230   296.07
235   291.009
240   286.04
245   281.14
250   276.326
255   271.602
260   266.961
265   262.405
270   257.935
275   253.549
280   249.246
285   245.026
290   240.893
295   236.843
300   232.875
305   229.751
310   225.004
315   220.444
320   216.001
325   211.681
330   207.482
335   203.394
340   199.423
345   195.559
350   191.806
355   188.156
360   184.606
365   181.157
370   177.802
375   174.541
380   171.37
385   168.288
390   165.289
395   162.375
400   159.54
405   156.783
410   154.102
415   151.495
420   148.959
425   146.492
430   144.217
435   141.484
440   138.93
445   136.454
450   134.048
455   132.145
460   129.644
465   127.271
470   124.922
475   122.701
480   120.522
485   118.444
490   116.406
495   114.439
500   114.439

FuncObj: 506.376
